"filename", "language", "Ignore", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "CSS", "JavaScript JSX", "Markdown", "HTML", "C#", "Properties", "comment", "blank", "total"
"c:\Git\videoportal2\Knihovna bez názvu.xml", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Git\videoportal2\backend\Backend\Backend\.config\dotnet-tools.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Git\videoportal2\backend\Backend\Backend\Backend.csproj", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\ChannelsController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 8, 40, 332
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\CommentsController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 7, 13, 137
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\SearchController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\UserVideoStatsController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 3, 10, 89
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\UsersController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 1, 28, 196
"c:\Git\videoportal2\backend\Backend\Backend\Controllers\VideosController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 11, 38, 310
"c:\Git\videoportal2\backend\Backend\Backend\DbContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 6, 53
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215619_begin.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 370, 0, 2, 135, 507
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215619_begin.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 0, 3, 43, 443
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215858_video-channel-required.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 0, 2, 135, 508
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215858_video-channel-required.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 3, 4, 42
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230407213345_Add-video-fulltext-indexes.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 0, 2, 135, 508
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230407213345_Add-video-fulltext-indexes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 4, 29
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230409200959_Add-ChannelUserSpecificInfo.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 0, 2, 141, 528
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230409200959_Add-ChannelUserSpecificInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 3, 4, 38
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230416204822_comments_user_roles.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 434, 0, 2, 152, 588
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230416204822_comments_user_roles.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 3, 10, 78
"c:\Git\videoportal2\backend\Backend\Backend\Migrations\MyDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 1, 152, 585
"c:\Git\videoportal2\backend\Backend\Backend\Models\Channel.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 12, 85
"c:\Git\videoportal2\backend\Backend\Backend\Models\Comment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Git\videoportal2\backend\Backend\Backend\Models\LoginRegisterDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Git\videoportal2\backend\Backend\Backend\Models\Tag.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Git\videoportal2\backend\Backend\Backend\Models\User.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 10, 93
"c:\Git\videoportal2\backend\Backend\Backend\Models\Video.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"c:\Git\videoportal2\backend\Backend\Backend\Models\WithTotalCount.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Git\videoportal2\backend\Backend\Backend\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 12, 129
"c:\Git\videoportal2\backend\Backend\Backend\Properties\launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Git\videoportal2\backend\Backend\Backend\Services\AuthenticationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 17, 107
"c:\Git\videoportal2\backend\Backend\Backend\Services\IAuthenticationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Git\videoportal2\backend\Backend\Backend\Utils\FormDataOptional.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
