Date : 2023-05-11 23:25:53
Directory : c:\Git\videoportal2
Total : 122 files,  14272 codes, 578 comments, 2216 blanks, all 17066 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         56 |      4,674 |         63 |        337 |      5,074 |
| C#                 |         33 |      4,564 |         56 |      1,143 |      5,763 |
| TypeScript         |         13 |      4,541 |        442 |        688 |      5,671 |
| JSON               |          7 |        171 |          0 |          4 |        175 |
| Markdown           |          4 |        163 |          0 |         26 |        189 |
| JavaScript JSX     |          1 |         36 |          1 |          5 |         42 |
| CSS                |          1 |         34 |          0 |          6 |         40 |
| HTML               |          1 |         30 |          4 |          1 |         35 |
| XML                |          3 |         29 |          0 |          5 |         34 |
| JSON with Comments |          1 |         28 |         12 |          0 |         40 |
| Ignore             |          1 |          1 |          0 |          0 |          1 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        122 |     14,272 |        578 |      2,216 |     17,066 |
| . (Files)                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| backend                                                                                                       |         37 |      4,634 |         56 |      1,149 |      5,839 |
| backend\Backend                                                                                               |         37 |      4,634 |         56 |      1,149 |      5,839 |
| backend\Backend\Backend                                                                                       |         37 |      4,634 |         56 |      1,149 |      5,839 |
| backend\Backend\Backend (Files)                                                                               |          4 |        199 |          0 |         24 |        223 |
| backend\Backend\Backend\.config                                                                               |          1 |         12 |          0 |          0 |         12 |
| backend\Backend\Backend\Controllers                                                                           |          6 |        967 |         30 |        136 |      1,133 |
| backend\Backend\Backend\Migrations                                                                            |         11 |      2,913 |         26 |        915 |      3,854 |
| backend\Backend\Backend\Models                                                                                |          7 |        274 |          0 |         38 |        312 |
| backend\Backend\Backend\Properties                                                                            |          1 |         23 |          0 |          0 |         23 |
| backend\Backend\Backend\Services                                                                              |          2 |        100 |          0 |         19 |        119 |
| backend\Backend\Backend\Utils                                                                                 |          5 |        146 |          0 |         17 |        163 |
| frontend                                                                                                      |         84 |      9,637 |        522 |      1,067 |     11,226 |
| frontend (Files)                                                                                              |          7 |        169 |         17 |          6 |        192 |
| frontend\.VSCodeCounter                                                                                       |          5 |        164 |          0 |         26 |        190 |
| frontend\.VSCodeCounter\2023-05-11_23-23-53                                                                   |          5 |        164 |          0 |         26 |        190 |
| frontend\public                                                                                               |          2 |         26 |          0 |          1 |         27 |
| frontend\src                                                                                                  |         70 |      9,278 |        505 |      1,034 |     10,817 |
| frontend\src (Files)                                                                                          |          5 |        293 |          3 |         24 |        320 |
| frontend\src\api                                                                                              |          5 |      4,427 |        437 |        661 |      5,525 |
| frontend\src\api (Files)                                                                                      |          2 |      1,039 |         30 |        144 |      1,213 |
| frontend\src\api\axios-client                                                                                 |          3 |      3,388 |        407 |        517 |      4,312 |
| frontend\src\components                                                                                       |         38 |      2,755 |         45 |        201 |      3,001 |
| frontend\src\components\AppBar                                                                                |          3 |        219 |          1 |         20 |        240 |
| frontend\src\components\Avatar                                                                                |          2 |        139 |          3 |         11 |        153 |
| frontend\src\components\Buttons                                                                               |          2 |         58 |          0 |          6 |         64 |
| frontend\src\components\Chip                                                                                  |          3 |        256 |          3 |         16 |        275 |
| frontend\src\components\Comment                                                                               |          1 |         20 |          0 |          4 |         24 |
| frontend\src\components\DropDownMenu                                                                          |          2 |        135 |          0 |         10 |        145 |
| frontend\src\components\Forms                                                                                 |          2 |        249 |          0 |         12 |        261 |
| frontend\src\components\InlineList                                                                            |          3 |        249 |          2 |         15 |        266 |
| frontend\src\components\Navigation                                                                            |          4 |        200 |          8 |         18 |        226 |
| frontend\src\components\Table                                                                                 |          1 |        356 |          1 |         25 |        382 |
| frontend\src\components\Thumbnail                                                                             |          2 |        387 |          2 |         14 |        403 |
| frontend\src\components\Utils                                                                                 |         10 |        201 |         20 |         28 |        249 |
| frontend\src\components\VerticalList                                                                          |          1 |         93 |          0 |          6 |         99 |
| frontend\src\components\VideoDetail                                                                           |          2 |        193 |          5 |         16 |        214 |
| frontend\src\model                                                                                            |          5 |        106 |          3 |         23 |        132 |
| frontend\src\routes                                                                                           |         17 |      1,697 |         17 |        125 |      1,839 |
| frontend\src\routes (Files)                                                                                   |         10 |      1,121 |         16 |         80 |      1,217 |
| frontend\src\routes\Channel                                                                                   |          5 |        328 |          0 |         28 |        356 |
| frontend\src\routes\Users                                                                                     |          2 |        248 |          1 |         17 |        266 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Git\videoportal2\Knihovna bez názvu.xml                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Git\videoportal2\backend\Backend\Backend\.config\dotnet-tools.json                                         | JSON               |         12 |          0 |          0 |         12 |
| c:\Git\videoportal2\backend\Backend\Backend\Backend.csproj                                                    | XML                |         27 |          0 |          5 |         32 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\ChannelsController.cs                                 | C#                 |        284 |          8 |         40 |        332 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\CommentsController.cs                                 | C#                 |        117 |          7 |         13 |        137 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\SearchController.cs                                   | C#                 |         62 |          0 |          7 |         69 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\UserVideoStatsController.cs                           | C#                 |         76 |          3 |         10 |         89 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\UsersController.cs                                    | C#                 |        167 |          1 |         28 |        196 |
| c:\Git\videoportal2\backend\Backend\Backend\Controllers\VideosController.cs                                   | C#                 |        261 |         11 |         38 |        310 |
| c:\Git\videoportal2\backend\Backend\Backend\DbContext.cs                                                      | C#                 |         47 |          0 |          6 |         53 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215619_begin.Designer.cs                       | C#                 |        370 |          2 |        135 |        507 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215619_begin.cs                                | C#                 |        397 |          3 |         43 |        443 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215858_video-channel-required.Designer.cs      | C#                 |        371 |          2 |        135 |        508 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230406215858_video-channel-required.cs               | C#                 |         35 |          3 |          4 |         42 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230407213345_Add-video-fulltext-indexes.Designer.cs  | C#                 |        371 |          2 |        135 |        508 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230407213345_Add-video-fulltext-indexes.cs           | C#                 |         22 |          3 |          4 |         29 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230409200959_Add-ChannelUserSpecificInfo.Designer.cs | C#                 |        385 |          2 |        141 |        528 |
